U+FA25	逸	⿺⻌兔	⿺辶兔
U+FA26	都	⿰者⻏	⿰者阝
U+FA2A	飯	⿰𩙿反	飯
U+FA2B	飼	⿰𩙿司	飼
U+FA2C	館	⿰𩙿官	⿰⻞官
U+FA2D	鶴	⿰寉鳥
U+FA2E	郞	⿰良阝
U+FA2F	隷	⿰⿱士示隶
U+FA30	侮	⿰亻每	⿰亻毎
U+FA31	僧	⿰亻曽	⿰亻曾
U+FA32	免	⿳⺈𫩏儿
U+FA33	勉	⿺免力
U+FA34	勤	⿰堇力
U+FA35	卑	卑	⿱丿𤰞
U+FA36	喝	⿰口曷
U+FA37	嘆	⿰口𦰩	⿰口⿱廿⿻口夫
U+FA38	器	⿴㗊犬	⿳吅犬吅
U+FA39	塀	⿰土屛
U+FA3A	墨	⿱黑土
U+FA3B	層	⿸尸曾
U+FA3C	屮	@apparent=⿻凵丨	⿻凵丨	屮
U+FA3D	悔	⿰忄每
U+FA3E	慨	⿰忄既
U+FA3F	憎	⿰忄曾
U+FA40	懲	⿱徵心
U+FA41	敏	⿰每攵
U+FA42	既	既
U+FA43	暑	⿱日者
U+FA44	梅	⿰木每
U+FA45	海	⿰氵每
U+FA46	渚	⿰氵者
U+FA47	漢	⿰氵⿱廿⿻口夫	⿰氵𦰩
U+FA48	煮	⿱者灬
U+FA49	爫	⿱丿𭕄	⽖
U+FA4A	琢	⿰𤣩豖	⿰王豖
U+FA4B	碑	⿰石卑
U+FA4C	社	⿰示土
U+FA4D	祉	⿰示止
U+FA4E	祈	⿰示斤
U+FA4F	祐	⿰示右
U+FA50	祖	⿰示且
U+FA51	祝	⿰示兄
U+FA52	禍	⿰示咼
U+FA53	禎	⿰示貞
U+FA54	穀	⿰𥞤殳	⿹𣪊禾
U+FA55	突	⿱穴犬
U+FA56	節	⿱竹即	⿱⺮卽
U+FA57	練	⿰糸柬
U+FA58	縉	⿰糸晋
U+FA59	繁	⿱敏糸	⿱敏糸
U+FA5A	署	⿱⺲者	⿱罒者
U+FA5B	者	者	⿱⿸耂丶日
U+FA5C	臭	⿱自犬
U+FA5D	艹	艹
U+FA5E	艹	⺾	⿰十十
U+FA5F	著	⿱艹者
U+FA60	褐	⿰衤曷
U+FA61	視	⿰示見
U+FA62	謁	⿰言曷
U+FA63	謹	⿰言堇
U+FA64	賓	⿱⿱宀⿱一𣥂貝	⿱⿳宀一𣥂貝
U+FA65	贈	⿰貝曾
U+FA66	辶	辶	⻌
U+FA67	逸	⿺⻍兔	⿺辶兔
U+FA68	難	⿰⿱廿⿻口夫隹	⿰𦰩隹
U+FA69	響	⿱鄕音
U+FA6A	頻	⿰步頁
U+FA6B	恵	⿱⿺𤰔丶心
U+FA6C	𤋮	⿱𭘍灬
U+FA6D	舘	⿰舎官	⿰舍官
U+FACF	𢡊	⿰忄⿱⿰夭夭心
