U+281B5	𨆵	⿰𧾷頗
U+281B6	𨆶	⿰𧾷蒲
U+281B7	𨆷	⿰𧾷對
U+281B8	𨆸	⿰𧾷愿
U+281B9	𨆹	⿰𧾷辣
U+281BA	𨆺	⿰𧾷漂
U+281BB	𨆻	⿱滿足
U+281BC	𨆼	⿰𧾷㕑
U+281BD	𨆽	⿰𧾷麽	⿰𧾷⿸麻么
U+281BE	𨆾	⿰𧾷察
U+281BF	𨆿	⿰𧾷閣
U+281C0	𨇀	⿰𧾷遣
U+281C1	𨇁	⿰𧾷廣
U+281C2	𨇂	⿰𧾷徹
U+281C3	𨇃	⿰𧾷賛
U+281C4	𨇄	⿰𧾷憂
U+281C5	𨇅	⿰𧾷暴
U+281C6	𨇆	⿰𧾷厲
U+281C7	𨇇	⿰𧾷⿳龷灬貝	⿰𧾷𮚏
U+281C8	𨇈	⿰𧾷𤴡	⿰𧾷⿳𣎵田⿱厶龰
U+281C9	𨇉	⿰𧾷⿱山尞	⿰𧾷嶚
U+281CA	𨇊	⿰𧾷𢕪	⿰𧾷⿰彳喬
U+281CB	𨇋	⿰𧾷𦟝	⿰𧾷⿱⿱𠂹一月
U+281CC	𨇌	⿱⿰木戚足	⿱槭足
U+281CD	𨇍	⿰𧾷輦
U+281CE	𨇎	⿱𨂷全
U+281CF	𨇏	⿰𧾷𢀩
U+281D0	𨇐	⿱⿰舟頁足
U+281D1	𨇑	⿰𧾷罷
U+281D2	𨇒	⿰𧾷磊
U+281D3	𨇓	⿱儉足
U+281D4	𨇔	⿰𧾷⿶凵⿳𢆶一𢆶	⿰𧾷⿶凵⿱𢆶𫠩
U+281D5	𨇕	⿰𧾷⿱⿰彳吞𠕁
U+281D6	𨇖	⿰𧾷盧
U+281D7	𨇗	⿰𧾷歷
U+281D8	𨇘	⿱龍足
U+281D9	𨇙	⿰𧾷衞
U+281DA	𨇚	⿰𧾷⿱臾貝	⿰𧾷䝿
U+281DB	𨇛	⿱足覩
U+281DC	𨇜	⿱覩足
U+281DD	𨇝	⿰𧾷閻
U+281DE	𨇞	⿰𧾷麮	⿰𧾷⿺麥去
U+281DF	𨇟	⿰𧾷燕
U+281E0	𨇠	⿰𧾷⿸厂墨	⿰𧾷㕓
U+281E1	𨇡	⿰𧾷閶
U+281E2	𨇢	⿰𧾷磨
U+281E3	𨇣	⿰𧾷覧
U+281E4	𨇤	⿰𧾷鮮
U+281E5	𨇥	⿰𧾷蹇
U+281E6	𨇦	⿰𧾷韱
U+281E7	𨇧	⿰𧾷⿵門臿
U+281E8	𨇨	⿰𧾷薛
U+281E9	𨇩	⿰𧾷毚
U+281EA	𨇪	⿲𧾷隹頁	⿰𧾷顀
U+281EB	𨇫	⿰𧾷⿱⿻舁同㔾	⿰𧾷⿱興㔾
U+281EC	𨇬	⿰𧾷⿱旦欽
U+281ED	𨇭	⿸广⿱𮎙足	⿸广⿱⿰幸艮足
U+281EE	𨇮	⿰𧾷闕
U+281EF	𨇯	⿰𧾷雙
U+281F0	𨇰	⿰𧾷斷
U+281F1	𨇱	⿰𧾷邊
U+281F2	𨇲	⿰𧾷𨶒	⿰𧾷⿵門舀
U+281F3	𨇳	⿰躎尤
U+281F4	𨇴	⿰𧾷𠨧
U+281F5	𨇵	⿰𧾷𡗉[X]	⿰𧾷⿰堯多	⿲𧾷堯多
U+281F6	𨇶	⿰𧾷竅
U+281F7	𨇷	⿰𧾷魏
U+281F8	𨇸	⿰𧾷簪
U+281F9	𨇹	⿰𧾷甕
U+281FA	𨇺	⿰𧾷爵
U+281FB	𨇻	⿰𧾷靡
U+281FC	𨇼	⿰𧾷䜌
U+281FD	𨇽	⿰𧾷羅
U+281FE	𨇾	⿰𧾷爕
U+281FF	𨇿	⿰𧾷繭
U+28200	𨈀	⿰𧾷顛
U+28201	𨈁	⿰𧾷籍
U+28202	𨈂	⿰𧾷䨇
U+28203	𨈃	⿰蹎真	⿰𧾷㒹
U+28204	𨈄	⿰𧾷⿹𢦏齒
U+28205	𨈅	⿰𧾷蘥
U+28206	𨈆	⿰𧾷蘭
U+28207	𨈇	⿰𧾷覽
U+28208	𨈈	⿰𧾷疊
U+28209	𨈉	⿰𧾷𡖂
U+2820A	𨈊	⿰𧾷彎
U+2820B	𨈋	⿰𧾷籥
