# Hanyo-Denshi IVD Collection
# https://www.unicode.org/ivd/hanyo-denshi/
# 13,045 total IVSes registered in the 2012-03-02 version of the IVD
# PRIs #167 & #187
#
3FCA E0101; Hanyo-Denshi; KS252420
3FDF E0100; Hanyo-Denshi; IA0494
3FDF E0101; Hanyo-Denshi; KS254470
3FE9 E0100; Hanyo-Denshi; IA3408
3FE9 E0101; Hanyo-Denshi; TK01061920
3FFC E0100; Hanyo-Denshi; IA3426
3FFC E0101; Hanyo-Denshi; KS257310
4018 E0100; Hanyo-Denshi; IA3452
4018 E0101; Hanyo-Denshi; KS260480
4048 E0100; Hanyo-Denshi; IA0505
4048 E0101; Hanyo-Denshi; KS262130
404F E0100; Hanyo-Denshi; IA3504
404F E0101; Hanyo-Denshi; KS263350
4050 E0100; Hanyo-Denshi; IA0506
4050 E0101; Hanyo-Denshi; KS262880
4054 E0100; Hanyo-Denshi; IA3507
4054 E0101; Hanyo-Denshi; TK01062970
4071 E0100; Hanyo-Denshi; IA0509
4071 E0101; Hanyo-Denshi; JTB661
4071 E0102; Hanyo-Denshi; JTB662
407E E0100; Hanyo-Denshi; IA3544
407E E0101; Hanyo-Denshi; KS266100
408A E0100; Hanyo-Denshi; IA0510
408A E0101; Hanyo-Denshi; TK01063340
408A E0102; Hanyo-Denshi; TK01063350
4096 E0100; Hanyo-Denshi; IA0512
4096 E0101; Hanyo-Denshi; JTB670
4096 E0102; Hanyo-Denshi; KS268410
40AE E0100; Hanyo-Denshi; IA3583
40AE E0101; Hanyo-Denshi; KS270280
40CD E0100; Hanyo-Denshi; IA0516
40CD E0101; Hanyo-Denshi; KS271840
40DD E0100; Hanyo-Denshi; IA0517
40DD E0101; Hanyo-Denshi; TK01064120
40EE E0100; Hanyo-Denshi; IA3639
40EE E0101; Hanyo-Denshi; TK01064130
40FD E0100; Hanyo-Denshi; IB0329
40FD E0101; Hanyo-Denshi; IB0767
40FE E0100; Hanyo-Denshi; IA0519
40FE E0101; Hanyo-Denshi; IB0770
4101 E0100; Hanyo-Denshi; IA3653
4101 E0101; Hanyo-Denshi; TK01064660
4102 E0100; Hanyo-Denshi; IA0521
4102 E0101; Hanyo-Denshi; KS275710
4103 E0101; Hanyo-Denshi; IB0779
4103 E0102; Hanyo-Denshi; IA0522
4104 E0100; Hanyo-Denshi; IB0333
4104 E0101; Hanyo-Denshi; IB0785
4105 E0101; Hanyo-Denshi; IA0523
4105 E0102; Hanyo-Denshi; JD8268
4106 E0100; Hanyo-Denshi; IA3654
4106 E0101; Hanyo-Denshi; TK01064830
4107 E0100; Hanyo-Denshi; IA0524
4107 E0101; Hanyo-Denshi; JTB6E6
410C E0100; Hanyo-Denshi; IA3658
410C E0101; Hanyo-Denshi; TK01065280
410D E0100; Hanyo-Denshi; IB0335
410D E0101; Hanyo-Denshi; JTB6ED
410F E0100; Hanyo-Denshi; IB0336
410F E0101; Hanyo-Denshi; IB0801
4112 E0100; Hanyo-Denshi; IA0525
4112 E0101; Hanyo-Denshi; KS276970
4113 E0100; Hanyo-Denshi; IA3662
4113 E0101; Hanyo-Denshi; TK01065500
4120 E0100; Hanyo-Denshi; IB0343
4120 E0101; Hanyo-Denshi; IB0824
412A E0100; Hanyo-Denshi; IA0527
412A E0101; Hanyo-Denshi; KS279260
412F E0100; Hanyo-Denshi; IA3681
412F E0101; Hanyo-Denshi; KS280550
4146 E0100; Hanyo-Denshi; IA0531
4146 E0101; Hanyo-Denshi; KS280290
4148 E0101; Hanyo-Denshi; JD8284
4148 E0102; Hanyo-Denshi; KS280540
4148 E0103; Hanyo-Denshi; TK01066850
4164 E0100; Hanyo-Denshi; IA3724
4164 E0101; Hanyo-Denshi; TK01067590
417E E0100; Hanyo-Denshi; IA3747
417E E0101; Hanyo-Denshi; TK01068200
4181 E0100; Hanyo-Denshi; IA0539
4181 E0101; Hanyo-Denshi; TK01068270
4183 E0100; Hanyo-Denshi; IB0347
4183 E0101; Hanyo-Denshi; IB0834
4183 E0102; Hanyo-Denshi; TK01068150
4192 E0100; Hanyo-Denshi; IA0540
4192 E0101; Hanyo-Denshi; JTB76D
4196 E0100; Hanyo-Denshi; IA3764
4196 E0101; Hanyo-Denshi; TK01068430
41B3 E0100; Hanyo-Denshi; IB0836
41B3 E0101; Hanyo-Denshi; JTB77F
41B4 E0101; Hanyo-Denshi; JD8319
41B4 E0102; Hanyo-Denshi; TK01068690
41CC E0100; Hanyo-Denshi; IA3817
41CC E0101; Hanyo-Denshi; TK01068920
41D2 E0100; Hanyo-Denshi; IA0543
41D2 E0101; Hanyo-Denshi; KS288800
41F1 E0100; Hanyo-Denshi; IA0546
41F1 E0101; Hanyo-Denshi; KS290980
41F8 E0100; Hanyo-Denshi; IA3853
41F8 E0101; Hanyo-Denshi; TK01069610
4227 E0100; Hanyo-Denshi; IA0552
4227 E0101; Hanyo-Denshi; KS296840
422A E0100; Hanyo-Denshi; IA3894
422A E0101; Hanyo-Denshi; KS295030
4234 E0100; Hanyo-Denshi; IA0553
4234 E0101; Hanyo-Denshi; TK01070180
4240 E0100; Hanyo-Denshi; IA3921
4240 E0101; Hanyo-Denshi; TK01070160
4274 E0100; Hanyo-Denshi; IA3968
4274 E0101; Hanyo-Denshi; TK01070510
4274 E0102; Hanyo-Denshi; TK01070570
4275 E0100; Hanyo-Denshi; KS504120
4275 E0101; Hanyo-Denshi; KS504190
427D E0100; Hanyo-Denshi; IA0560
427D E0101; Hanyo-Denshi; TK01070680
4291 E0100; Hanyo-Denshi; IA0563
4291 E0101; Hanyo-Denshi; TK01070910
4294 E0100; Hanyo-Denshi; KS302030
4294 E0101; Hanyo-Denshi; TK01070850
42A3 E0100; Hanyo-Denshi; IA0567
42A3 E0101; Hanyo-Denshi; TK01071060
42AE E0100; Hanyo-Denshi; IA4019
42AE E0101; Hanyo-Denshi; TK01071130
42B8 E0100; Hanyo-Denshi; IA4027
42B8 E0101; Hanyo-Denshi; KS304690
42BA E0100; Hanyo-Denshi; IA4028
42BA E0101; Hanyo-Denshi; JTB819
42C6 E0101; Hanyo-Denshi; IA0571
42C6 E0102; Hanyo-Denshi; JD8411
42C6 E0103; Hanyo-Denshi; TK01071510
42C7 E0100; Hanyo-Denshi; IA0572
42C7 E0101; Hanyo-Denshi; TK01071470
42DA E0100; Hanyo-Denshi; IA4054
42DA E0101; Hanyo-Denshi; TK01071780
42E3 E0100; Hanyo-Denshi; IA4060
42E3 E0101; Hanyo-Denshi; KS307630
42E3 E0102; Hanyo-Denshi; TK01071790
4301 E0100; Hanyo-Denshi; IA4088
4301 E0101; Hanyo-Denshi; KS309930
4313 E0100; Hanyo-Denshi; IA0580
4313 E0101; Hanyo-Denshi; KS311240
4334 E0100; Hanyo-Denshi; IA4134
4334 E0101; Hanyo-Denshi; KS314040
